
*******   STEP   1      *** NEFF=10 CALCULATION                
    3   0.691E-02   0.502E-01   0.340E-01
    4   0.379E-02   0.273E-01   0.186E-01
    5   0.218E-02   0.148E-01   0.998E-02
    6   0.115E-02   0.781E-02   0.534E-02
    7   0.719E-03   0.460E-02   0.323E-02
    8   0.407E-03   0.271E-02   0.189E-02
    9   0.232E-03   0.171E-02   0.125E-02
   10   0.205E-03   0.114E-02   0.641E-03
   11   0.140E-03   0.703E-03   0.402E-03

*******   STEP  14      *** NEFF=10 CALCULATION                
    1   0.103E-01   0.570E-01   0.546E-01
    2   0.100E-01   0.738E-01   0.508E-01
    3   0.622E-02   0.455E-01   0.298E-01
    4   0.369E-02   0.259E-01   0.170E-01
    5   0.208E-02   0.145E-01   0.964E-02
    6   0.134E-02   0.889E-02   0.605E-02
    7   0.802E-03   0.550E-02   0.375E-02
    8   0.489E-03   0.362E-02   0.261E-02
    9   0.338E-03   0.261E-02   0.185E-02
   10   0.246E-03   0.198E-02   0.143E-02
   11   0.238E-03   0.142E-02   0.830E-03
   12   0.135E-03   0.112E-02   0.867E-03
   13   0.130E-03   0.916E-03   0.559E-03

*******   STEP  15      *** NEFF=10 CALCULATION                
    1   0.965E-02   0.466E-01   0.506E-01
    2   0.933E-02   0.683E-01   0.460E-01
    3   0.575E-02   0.422E-01   0.264E-01
    4   0.343E-02   0.245E-01   0.157E-01
    5   0.208E-02   0.149E-01   0.965E-02
    6   0.139E-02   0.987E-02   0.666E-02
    7   0.921E-03   0.680E-02   0.454E-02
    8   0.620E-03   0.484E-02   0.339E-02
    9   0.461E-03   0.369E-02   0.253E-02
   10   0.349E-03   0.285E-02   0.200E-02
   11   0.340E-03   0.205E-02   0.117E-02
   12   0.192E-03   0.157E-02   0.121E-02
   13   0.182E-03   0.130E-02   0.765E-03
   14   0.159E-03   0.874E-03   0.512E-03

*******   STEP  16      *** NEFF=10 CALCULATION                
    1   0.934E-02   0.385E-01   0.484E-01
    2   0.866E-02   0.643E-01   0.423E-01
    3   0.556E-02   0.412E-01   0.243E-01
    4   0.328E-02   0.239E-01   0.146E-01
    5   0.204E-02   0.152E-01   0.930E-02
    6   0.139E-02   0.103E-01   0.654E-02
    7   0.932E-03   0.723E-02   0.454E-02
    8   0.633E-03   0.514E-02   0.336E-02
    9   0.462E-03   0.387E-02   0.249E-02
   10   0.344E-03   0.292E-02   0.191E-02
   11   0.334E-03   0.209E-02   0.110E-02
   12   0.176E-03   0.146E-02   0.106E-02
   13   0.163E-03   0.122E-02   0.663E-03
   14   0.142E-03   0.831E-03   0.466E-03

*******   STEP  17      *** NEFF=10 CALCULATION                
    1   0.921E-02   0.329E-01   0.471E-01
    2   0.827E-02   0.612E-01   0.388E-01
    3   0.534E-02   0.404E-01   0.225E-01
    4   0.303E-02   0.227E-01   0.127E-01
    5   0.171E-02   0.133E-01   0.742E-02
    6   0.113E-02   0.813E-02   0.455E-02
    7   0.640E-03   0.486E-02   0.271E-02
    8   0.351E-03   0.286E-02   0.165E-02
    9   0.197E-03   0.175E-02   0.102E-02
   10   0.177E-03   0.107E-02   0.457E-03
